Word,Frequency,Probability
1,14,0.0010413567390657541
1.a,1,7.438262421898245e-05
1.b,1,7.438262421898245e-05
1.c,2,0.0001487652484379649
1.d,1,7.438262421898245e-05
1.e,2,0.0001487652484379649
1.e.1,5,0.00037191312109491223
1.e.2,1,7.438262421898245e-05
1.e.3,1,7.438262421898245e-05
1.e.4,1,7.438262421898245e-05
1.e.5,1,7.438262421898245e-05
1.e.6,1,7.438262421898245e-05
1.e.7,3,0.00022314787265694734
1.e.8,4,0.0002975304968759298
1.e.9,3,0.00022314787265694734
1.f,1,7.438262421898245e-05
1.f.1,1,7.438262421898245e-05
1.f.2,1,7.438262421898245e-05
1.f.3,5,0.00037191312109491223
1.f.4,1,7.438262421898245e-05
1.f.5,1,7.438262421898245e-05
1.f.6,1,7.438262421898245e-05
100,3,0.00022314787265694734
12,3,0.00022314787265694734
1500,1,7.438262421898245e-05
1596-1650,1,7.438262421898245e-05
15th,3,0.00022314787265694734
1646-1716,1,7.438262421898245e-05
1685-1753,1,7.438262421898245e-05
16th,2,0.0001487652484379649
1711-76,1,7.438262421898245e-05
1724-1804,1,7.438262421898245e-05
1770-1831,1,7.438262421898245e-05
1912,1,7.438262421898245e-05
2,10,0.0007438262421898245
20,1,7.438262421898245e-05
2001,1,7.438262421898245e-05
2004,1,7.438262421898245e-05
2019,1,7.438262421898245e-05
3,6,0.0004462957453138947
30,1,7.438262421898245e-05
4,3,0.00022314787265694734
5,4,0.0002975304968759298
"5,000",1,7.438262421898245e-05
50,1,7.438262421898245e-05
501(c)(3,1,7.438262421898245e-05
5827,1,7.438262421898245e-05
596-1887,1,7.438262421898245e-05
60,1,7.438262421898245e-05
64-6221541,1,7.438262421898245e-05
7,2,0.0001487652484379649
801,1,7.438262421898245e-05
809,1,7.438262421898245e-05
84116,1,7.438262421898245e-05
90,2,0.0001487652484379649
abandon,2,0.0001487652484379649
abide,1,7.438262421898245e-05
absence,2,0.0001487652484379649
absent,3,0.00022314787265694734
absolute,15,0.0011157393632847366
absolutely,4,0.0002975304968759298
abstain,1,7.438262421898245e-05
abstract,10,0.0007438262421898245
abstracted,1,7.438262421898245e-05
abstraction,4,0.0002975304968759298
abstractions,1,7.438262421898245e-05
abstractly,1,7.438262421898245e-05
absurd,5,0.00037191312109491223
absurdities,1,7.438262421898245e-05
absurdity,3,0.00022314787265694734
accept,3,0.00022314787265694734
acceptance,1,7.438262421898245e-05
accepted,4,0.0002975304968759298
accepting,4,0.0002975304968759298
accepts,1,7.438262421898245e-05
access,10,0.0007438262421898245
accessed,1,7.438262421898245e-05
accessible,1,7.438262421898245e-05
accident,1,7.438262421898245e-05
accidental,1,7.438262421898245e-05
accidents,1,7.438262421898245e-05
accompanied,1,7.438262421898245e-05
accord,1,7.438262421898245e-05
account,18,0.001338887235941684
accounted,4,0.0002975304968759298
accounting,1,7.438262421898245e-05
accurate,1,7.438262421898245e-05
accusative,1,7.438262421898245e-05
accustomed,2,0.0001487652484379649
achieve,1,7.438262421898245e-05
achieved,4,0.0002975304968759298
achieves,1,7.438262421898245e-05
acquaintance,83,0.006173757810175543
acquainted,70,0.0052067836953287715
acquainted--usually,1,7.438262421898245e-05
acquiesce,1,7.438262421898245e-05
acquiescence,1,7.438262421898245e-05
acquire,5,0.00037191312109491223
acquired,2,0.0001487652484379649
acquiring,2,0.0001487652484379649
acquisition,1,7.438262421898245e-05
action,4,0.0002975304968759298
actions,2,0.0001487652484379649
active,2,0.0001487652484379649
activity,1,7.438262421898245e-05
acts,4,0.0002975304968759298
actual,28,0.0020827134781315083
acute,1,7.438262421898245e-05
adapts,1,7.438262421898245e-05
adding,1,7.438262421898245e-05
addition,8,0.0005950609937518596
additional,3,0.00022314787265694734
additions,2,0.0001487652484379649
address,1,7.438262421898245e-05
addresses,1,7.438262421898245e-05
adduced,1,7.438262421898245e-05
adequacy,1,7.438262421898245e-05
adequate,2,0.0001487652484379649
adequately,1,7.438262421898245e-05
adjectives,5,0.00037191312109491223
admirable,1,7.438262421898245e-05
admission,2,0.0001487652484379649
admit,13,0.0009669741148467717
admit--though,1,7.438262421898245e-05
admits,2,0.0001487652484379649
admitted,5,0.00037191312109491223
admitted--that,1,7.438262421898245e-05
admitting,1,7.438262421898245e-05
admixture,1,7.438262421898245e-05
adopt,6,0.0004462957453138947
advance,4,0.0002975304968759298
advanced,3,0.00022314787265694734
advances,1,7.438262421898245e-05
adversaries,1,7.438262421898245e-05
advocate,1,7.438262421898245e-05
advocated,6,0.0004462957453138947
advocates,1,7.438262421898245e-05
advocating,1,7.438262421898245e-05
aeroplanes,2,0.0001487652484379649
aesthetic,1,7.438262421898245e-05
aether,1,7.438262421898245e-05
affairs,1,7.438262421898245e-05
affections,1,7.438262421898245e-05
affirm,2,0.0001487652484379649
affirmative,1,7.438262421898245e-05
affirmed,2,0.0001487652484379649
afford,3,0.00022314787265694734
afforded,1,7.438262421898245e-05
affords,2,0.0001487652484379649
age,4,0.0002975304968759298
agent,1,7.438262421898245e-05
agree,12,0.0008925914906277894
agreeably,1,7.438262421898245e-05
agreed,4,0.0002975304968759298
agreed--the,1,7.438262421898245e-05
agreement,19,0.0014132698601606664
aim,1,7.438262421898245e-05
aimed,1,7.438262421898245e-05
aims,3,0.00022314787265694734
air,5,0.00037191312109491223
akin,1,7.438262421898245e-05
alien,1,7.438262421898245e-05
alive,2,0.0001487652484379649
all-embracing,1,7.438262421898245e-05
all-important,1,7.438262421898245e-05
all-round,1,7.438262421898245e-05
allowed,1,7.438262421898245e-05
allowing,1,7.438262421898245e-05
alter,2,0.0001487652484379649
alteration,1,7.438262421898245e-05
altered,1,7.438262421898245e-05
alternate,1,7.438262421898245e-05
alternatives,1,7.438262421898245e-05
alters,1,7.438262421898245e-05
altogether,5,0.00037191312109491223
ambiguity,3,0.00022314787265694734
ambiguous,6,0.0004462957453138947
ambitious,1,7.438262421898245e-05
amend,1,7.438262421898245e-05
amply,1,7.438262421898245e-05
analogous,1,7.438262421898245e-05
analyse,1,7.438262421898245e-05
analyses,1,7.438262421898245e-05
analysing,2,0.0001487652484379649
analysis,8,0.0005950609937518596
analytic,6,0.0004462957453138947
anatomist,1,7.438262421898245e-05
angles,3,0.00022314787265694734
animal,1,7.438262421898245e-05
animals,6,0.0004462957453138947
announcement,1,7.438262421898245e-05
announces,2,0.0001487652484379649
answer,28,0.0020827134781315083
answered,2,0.0001487652484379649
answering,3,0.00022314787265694734
answers,11,0.0008182088664088069
anticipate,1,7.438262421898245e-05
anticipating,1,7.438262421898245e-05
anticipation,1,7.438262421898245e-05
antithesis,3,0.00022314787265694734
anxious,2,0.0001487652484379649
anybody's,1,7.438262421898245e-05
apparent,14,0.0010413567390657541
appeal,4,0.0002975304968759298
appealing,2,0.0001487652484379649
appearance,15,0.0011157393632847366
appearances,1,7.438262421898245e-05
appeared,5,0.00037191312109491223
appearing,1,7.438262421898245e-05
appears,17,0.0012645046117227016
appetite,1,7.438262421898245e-05
applicable,12,0.0008925914906277894
application,1,7.438262421898245e-05
applications,3,0.00022314787265694734
applied,1,7.438262421898245e-05
applies,17,0.0012645046117227016
apply,9,0.000669443617970842
applying,2,0.0001487652484379649
apportions,1,7.438262421898245e-05
apprehend,3,0.00022314787265694734
apprehended,9,0.000669443617970842
apprehended--must,1,7.438262421898245e-05
apprehending,2,0.0001487652484379649
apprehends,1,7.438262421898245e-05
apprehension,3,0.00022314787265694734
approach,5,0.00037191312109491223
approaches,1,7.438262421898245e-05
approaching,1,7.438262421898245e-05
apt,5,0.00037191312109491223
archive,13,0.0009669741148467717
arduous,1,7.438262421898245e-05
argue,5,0.00037191312109491223
argued,1,7.438262421898245e-05
argued--correctly,1,7.438262421898245e-05
argues,1,7.438262421898245e-05
arguing,1,7.438262421898245e-05
argument,26,0.0019339482296935435
arguments,16,0.0011901219875037191
arises,4,0.0002975304968759298
arithmetic,11,0.0008182088664088069
arithmetical,3,0.00022314787265694734
arm,3,0.00022314787265694734
arose,1,7.438262421898245e-05
arrange,1,7.438262421898245e-05
arranged,2,0.0001487652484379649
arrangement,3,0.00022314787265694734
array,1,7.438262421898245e-05
arrive,7,0.0005206783695328771
arrived,1,7.438262421898245e-05
arriving,1,7.438262421898245e-05
arrogant,1,7.438262421898245e-05
artificial,1,7.438262421898245e-05
ascertain,2,0.0001487652484379649
ascertainable,2,0.0001487652484379649
ascertained,1,7.438262421898245e-05
ascii,2,0.0001487652484379649
aspect,2,0.0001487652484379649
assassinated,1,7.438262421898245e-05
assent,2,0.0001487652484379649
assented,1,7.438262421898245e-05
assert,7,0.0005206783695328771
asserted,2,0.0001487652484379649
asserting,3,0.00022314787265694734
assertion,3,0.00022314787265694734
asserts,7,0.0005206783695328771
assigns,1,7.438262421898245e-05
assimilate,1,7.438262421898245e-05
assist,1,7.438262421898245e-05
