Date of Detection,Species Detected,20,21,22,23
2/11/2021,45 Opossum,False,True,False,False
2/19/2021,Domestic Cat,True,False,False,False
2/26/2021,45 Opossum,False,False,True,False
2/26/2021,Domestic Cat,False,True,False,True
2/28/2021,45 Opossum,False,False,True,False
2/8/2021,Nine-banded Armadillo,False,False,False,True
3/10/2021,Domestic Cat,True,False,False,False
3/15/2021,45 Opossum,False,False,True,False
3/2/2021,45 Opossum,False,False,False,True
3/21/2021,White-tailed Deer,False,True,False,False
3/24/2021,Groundhog,True,False,False,False
3/24/2021,Nine-banded Armadillo,False,True,False,False
3/25/2021,45 Opossum,True,True,False,True
3/26/2021,45 Opossum,False,True,False,True
3/27/2021,White-tailed Deer,False,False,True,False
3/28/2021,45 Opossum,True,False,False,False
3/3/2021,Domestic Cat,False,False,True,True
3/30/2021,45 Opossum,True,False,False,False
4/1/2021,Rat,False,False,False,True
4/10/2021,45 Opossum,False,True,True,True
4/10/2021,Raccoon,False,False,False,True
4/10/2021,Rat,True,True,True,False
4/10/2022,Bird,True,False,False,False
4/10/2022,Mouse,False,True,True,False
4/10/2022,Raccoon,True,False,False,False
4/11/2021,45 Opossum,True,False,False,True
4/11/2021,Domestic Cat,True,False,False,True
4/11/2021,Rat,True,True,True,False
4/11/2022,Mouse,False,True,True,True
4/11/2022,Virginia Opossum,False,False,True,False
4/12/2021,45 Opossum,True,True,True,True
4/12/2021,Rat,True,True,True,True
4/12/2022,Domestic Cat,False,True,False,False
4/12/2022,Rat,False,False,False,True
4/12/2022,Virginia Opossum,False,True,False,True
4/12/2022,White-tailed Deer,False,True,True,True
4/13/2021,45 Opossum,True,True,False,False
4/13/2021,Domestic Cat,True,False,False,False
4/13/2021,Raccoon,False,True,False,False
4/13/2021,Rat,False,False,True,False
4/13/2022,Bird,False,False,False,True
4/13/2022,Coyote,False,True,False,False
4/13/2022,Mouse,False,False,False,True
4/13/2022,Raccoon,False,True,False,False
4/13/2022,Virginia Opossum,True,False,False,False
4/14/2021,45 Opossum,True,True,False,False
4/14/2021,Domestic Cat,True,False,False,False
4/14/2021,Rat,False,False,True,True
4/14/2022,Domestic Cat,False,True,False,False
4/14/2022,Mouse,False,False,True,False
4/14/2022,Red Fox,True,False,False,False
4/14/2022,River Otter,False,False,True,False
4/14/2022,Virginia Opossum,False,True,True,True
